symbol,date,open,high,low,close,volume
SBER,2022-05-19,125.31,126.86,123.21,125.6,34246550
SBER,2022-05-20,126.06,127.0,121.05,122.2,39288280
SBER,2022-05-23,121.5,122.5,118.9,119.46,37976200
SBER,2022-05-24,119.45,125.0,117.1,123.6,45164830
SBER,2022-05-25,124.11,125.5,120.5,124.15,53511900
SBER,2022-05-26,124.8,125.99,122.0,123.0,51985140
SBER,2022-05-27,123.0,123.5,120.9,121.22,32685350
SBER,2022-05-30,121.6,123.0,120.21,120.67,24957710
SBER,2022-05-31,120.0,120.0,117.62,118.3,29983170
SBER,2022-06-01,117.5,122.69,117.0,121.97,43785040
SBER,2022-06-02,121.9,122.39,118.5,119.0,42769900
SBER,2022-06-03,119.29,120.16,117.18,119.21,34341530
SBER,2022-06-06,119.26,120.35,118.29,118.78,22281970
SBER,2022-06-07,118.68,118.9,117.32,118.32,22274020
SBER,2022-06-08,118.51,122.19,118.4,119.9,41514970
SBER,2022-06-09,120.0,120.2,117.7,118.2,29371970
SBER,2022-06-10,118.03,119.55,117.73,118.07,25373000
SBER,2022-06-14,118.03,119.88,115.8,118.98,37690460
SBER,2022-06-15,119.4,121.71,118.71,121.14,52262500
SBER,2022-06-16,121.5,123.73,120.41,123.73,47921410
SBER,2022-06-17,123.97,125.18,123.11,123.88,36608520
SBER,2022-06-20,124.1,131.5,123.6,131.29,65683460
SBER,2022-06-21,131.98,133.49,127.11,129.1,75565750
SBER,2022-06-22,127.88,133.21,126.03,133.11,67799070
SBER,2022-06-23,133.9,138.4,131.5,136.85,108118920
SBER,2022-06-24,137.16,138.3,135.21,137.76,45254820
SBER,2022-06-27,137.7,141.77,136.77,141.15,69963540
SBER,2022-06-28,141.75,142.35,138.5,139.99,54863240
SBER,2022-06-29,139.8,139.89,132.75,132.8,55164310
SBER,2022-06-30,132.5,135.44,123.55,125.2,91499020
SBER,2022-07-01,124.13,132.0,122.5,129.91,60628570
SBER,2022-07-04,129.0,132.8,127.16,131.43,48006990
SBER,2022-07-05,132.0,135.7,131.43,133.5,51662270
SBER,2022-07-06,133.5,137.1,132.5,134.0,47075440
SBER,2022-07-07,134.0,135.2,131.22,133.09,43059280
SBER,2022-07-08,133.15,133.98,130.9,133.3,27635050
SBER,2022-07-11,132.8,133.9,126.42,126.8,53725410
SBER,2022-07-12,126.5,129.35,124.2,129.0,57254290
SBER,2022-07-13,129.8,129.95,125.36,126.0,45932640
SBER,2022-07-14,125.97,128.0,124.61,125.9,41704620
